"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"disease","MS15006042",1133721.63921322,288244.88554464,84774004.656915,1867232.20630559,39153702.0182212,216850.924784615,4612.63835848421,577195.771497942,60860.9797785276,22518.3127746457,11416.1550093265,16112.7654277083,565184.436639349,266889.673434773,1538173.28226324,167514.541956093,12465051.1894608,249200.406068904,4090515.99160183,35973722.882103
"disease","MS15006043",893548.589165346,337610.185760928,94724674.2069244,1488301.64953396,49642582.1230642,261310.405296014,3673.34863412175,548496.12880221,62349.4654305448,15531.028895765,24954.2378642088,17180.7335928085,358810.238623292,389573.335060519,1059392.21204286,131127.173117724,9792193.66107426,276054.320882244,3450924.18435953,30670398.9801397
"disease","MS15006045",768541.134468236,236618.903482312,76469876.1724396,1191808.43863703,36605621.6866741,194079.630610678,13226.9268877796,844631.297388252,79594.2567957963,19393.6422463999,25281.0280168317,11969.3033234099,520659.995660591,353209.126086537,1036339.03910457,146533.561682723,9131311.23205459,199145.180023651,3126089.29489111,29333863.4719367
"disease","MS15006049",1241439.96730847,334303.586844448,93974786.1012116,1773974.49794003,49866182.0999943,266234.992241222,4865.54710820968,566000.913107127,55192.0162399658,9710.09230113169,20596.8297014242,8519.36592641193,405584.044791258,144763.368580893,899220.973031416,81464.639345299,9743825.2584286,172485.400890142,3139380.84334409,38556660.2184213
"disease","MS15006051",1024145.10128509,277416.420680859,83274993.623729,1374614.79953655,36338786.714249,209417.559444055,4268.02629132711,410506.4769472,40118.2777966116,2794.86205231133,10407.3468522982,13816.3781912717,397857.894414115,172679.637461233,967082.193139039,91557.063070198,8692486.83294248,195983.142449541,2722289.01353742,28011521.0358367
"disease","MS15006053",575841.569186265,305246.504039364,79928145.1748879,1068414.75668976,39225615.9186397,237705.954427871,8039.71216919609,646275.687287489,78055.2521951051,10809.2780285397,17958.0999323249,9600.59500338241,557208.182473442,304096.887259703,1099765.91499104,122014.684293541,10616943.5053021,193567.227102834,3464736.62097391,40833532.2399092
"disease","MS15006054",729791.447798474,282694.058682931,78002993.2996213,1306643.35424755,33368977.9465552,194426.059061344,3222.10443878038,582625.490172653,59244.0197823535,5859.8603329623,13588.0810520374,14657.1863069433,410633.693282474,403316.275648653,817697.106627296,113183.456775279,7684949.70655205,179242.87089832,2797938.09299141,25020844.0459151
"disease","MS15006055",649603.358315094,158611.346698363,59308932.477134,749882.055261817,22399465.4123047,105083.427519491,2988.80732756671,459651.848769988,51259.3202482874,6271.01922839557,10440.7540754203,17008.3876469554,372749.535240027,331084.449424529,869254.66312057,62557.9235946434,9240067.58080575,111265.889097638,3090740.30828075,26468367.5713082
"disease","MS15006056",842657.374647777,281046.203429238,86253636.0746504,1852298.25810785,38532344.188141,197695.256563373,12622.5280848866,800538.665683249,114140.241864971,29706.8726824217,59306.7723256095,43407.7884857963,562945.050995777,638586.652919065,1035665.52604454,153924.774911484,9956009.61118646,181323.911869269,3340099.39223401,28800423.9962464
"disease","MS15006057",908467.870620442,212472.183346805,65459600.6742408,1319872.90403158,33244578.0648134,201414.77622425,766.59938348361,443294.543929193,28551.4978342488,4287.81045963747,9775.7612202085,30564.3190867923,279511.803240959,432754.492121582,666819.273588569,122590.500233707,7232307.58650269,136857.282458778,3218282.94473501,25154435.9234795
